"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"SA_Glycerophospholipid_metabolism_L1w",4.035927368,3.887404268,0.0707717425354651,0.290369086911721,0.963199758950667
"SA_Hyaluronan_metabolism_L1w",0,0,0.071606903460448,0.290369086911721,NA
"SA_Galactose_metabolism_FBA",68.9372096,0,0.0725922717279303,0.290369086911721,0
"ATPConsumption_L1w",103.99161615,99.88233989,0.0759980229104158,0.29385327533977,0.960484542772442
"ATPProduction_L1w",103.99161615,99.88233989,0.0759980229104158,0.29385327533977,0.960484542772442
"SA_Transport__nuclear_L1w",0,0,0.0770179955527622,0.29385327533977,NA
"SA_Fatty_acid_synthesis_pFBA",0,0,0.0788446319076454,0.296264677471152,NA
"SA_Alanine_and_aspartate_metabolism_FBA",2611.04859,2500,0.0824740474073614,0.305277071000382,0.957469734410419
"SA_Transport__mitochondrial_pFBA",0.00042861,0.000416667,0.0852941670219503,0.307836045263263,0.972135507804298
"SA_Starch_and_sucrose_metabolism_L1w",0.0001763965,0.000106387,0.0856479319482465,0.307836045263263,0.603112873554747
"SA_Pyrimidine_catabolism_pFBA",0.456801441,0,0.0870348351114203,0.308351987251889,0
"SA_Androgen_and_estrogen_synthesis_and_metabolism_L1w",0,0,0.0925351182766126,0.323221258205633,NA
"Oncomet_AlphaKG_L1w",8.304601099,6.284732261,0.0988188357777345,0.340375989901085,0.75677713909182
"SA_Valine__leucine__and_isoleucine_metabolism_L1w",0.7871153985,0.568350321,0.115707192711178,0.393087449210577,0.72206733864323
"SA_Citric_acid_cycle_L1w",2.119951429,1.871365776,0.119485427286303,0.400437648202745,0.882739929981669
"SA_C5_branched_dibasic_acid_metabolism_L1w",0,0,0.123462029675598,0.408247778127312,NA
"SA_Transport__peroxisomal_L1w",1.260740254,0.873575414,0.133567523958561,0.435851920285832,0.692906735727977
"SA_Miscellaneous_L1w",1.2682873825,1.141542896,0.141917796534745,0.45708589013788,0.900066429542044
"SA_Miscellaneous_pFBA",6.69e-05,5.55e-05,0.145541845908784,0.461050633540634,0.829596412556054
"MFI_L1w",3,2,0.146866935684315,0.461050633540634,0.666666666666667
"SA_Lysine_metabolism_L1w",0,0,0.152933720876158,0.461547463729893,NA
"SA_Vitamin_A_metabolism_L1w",2.6061676155,2.368982949,0.153158915912019,0.461547463729893,0.908991016122923
"SA_D_alanine_metabolism_L1w",0,0,0.155879638722916,0.461547463729893,NA
"SA_Pentose_phosphate_pathway_pFBA",0,0,0.156914630411818,0.461547463729893,NA
"SA_Urea_cycle_L1w",2.4114259685,2.238657858,0.157303013480279,0.461547463729893,0.928354379210958
"SA_Bile_acid_synthesis_L1w",2.525051224,1.895405698,0.158191671036455,0.461547463729893,0.750640493937164
"SA_Butanoate_metabolism_FBA",0,0,0.163661692562408,0.467814667617759,NA
"SA_Phosphatidylinositol_phosphate_metabolism_pFBA",3.57885,3.57885,0.164112403559456,0.467814667617759,1
"SA_Vitamin_A_metabolism_FBA",2441.769238,2000,0.170314589775352,0.47755001321038,0.819078219544676
"GlnDependence_FBA",0.5,0.5,0.171378835385983,0.47755001321038,1
"SA_Propanoate_metabolism_FBA",0,0,0.177219183001321,0.488337304270307,NA
"SA_Arginine_and_proline_metabolism_FBA",0,0,0.182843067217467,0.488371527919929,NA
"SA_Arginine_and_proline_metabolism_L1w",1.020931812,0.920514924,0.183768371908491,0.488371527919929,0.901641924740024
"SA_Fatty_acid_synthesis_L1w",2.57e-11,2.18e-11,0.184898207272207,0.488371527919929,0.848249027237354
"SA_Phenylalanine_metabolism_FBA",0,0,0.185108563001909,0.488371527919929,NA
"SA_Nucleotide_interconversion_pFBA",2.0746433285,2.085590673,0.191069270869373,0.493497463941178,1.00527673569216
"SA_Arachidonic_acid_metabolism_L1w",0.0001504435,5.49e-05,0.191478832591444,0.493497463941178,0.364921050095218
"SA_Folate_metabolism_L1w",1.200295802,1.111065225,0.193021185493122,0.493497463941178,0.9256595108878
"SA_Glutamate_metabolism_pFBA",0,6.21e-05,0.196690173260023,0.497746560902916,NA
"SA_Nucleotide_interconversion_L1w",2.4929020875,2.454121609,0.207755102259597,0.509707003305083,0.984443641531509
"SA_Vitamin_C_metabolism_L1w",9.32e-12,4.55e-12,0.208861977635177,0.509707003305083,0.488197424892704
"SA_Glycolysis_gluconeogenesis_FBA",2762.007506,2879.13556,0.208900935966671,0.509707003305083,1.04240685579078
"SA_Pyrimidine_catabolism_L1w",0.436677572,0.403972828,0.210228866229583,0.509707003305083,0.925105510113077
"LipidUnsat_L1w",0.0281557745,0.079754314,0.211692827985579,0.509707003305083,2.83260948833072
"SA_Vitamin_B2_metabolism_L1w",0,0,0.214321442577327,0.511074209222857,NA
"GlnDependence_L1w",1,0.999948465,0.21925606809511,0.517861951310355,0.999948465
"SA_Purine_synthesis_pFBA",0,0,0.222006154692659,0.519410626073391,NA
"SA_Ubiquinone_synthesis_L1w",0,0,0.228616153350737,0.520734508533777,NA
"SA_Tryptophan_metabolism_pFBA",0.001875688,8.407053856,0.228715330394774,0.520734508533777,4482.11741824866
"TCA_completeness_pFBA",0.263157895,0.333333333,0.228871215444281,0.520734508533777,1.26666666413333
"AnabolismScore_L1w",0.195430038,0.2336840205,0.235610759215258,0.527496097328888,1.19574259357203
"SA_Valine__leucine__and_isoleucine_metabolism_pFBA",0,0,0.236097043562526,0.527496097328888,NA
"SA_D_alanine_metabolism_FBA",0,0,0.241755808705884,0.535316433563028,NA
"SA_Peptide_metabolism_FBA",7871.701478,7964.765174,0.247020707259947,0.54176237433443,1.01182256418896
"SA_ROS_detoxification_L1w",5.705984818,4.770589328,0.250420979813538,0.54176237433443,0.836067651801453
