Configuration,Algorithm,PCA_Config,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Clusters,Noise_Pct,PCA_Components,Explained_Variance,Best Seed
KMeans_NoPCA_K4_S0.12_DB1.89_CH105_S1024,KMeans,NoPCA,0.12413627153973264,1.8865741737011286,104.93261163471105,4,0.0,277,1.0,1024
BayesianGaussianMixture_PCA90_K4_S0.12_DB2.42_CH78_S42,BayesianGaussianMixture,PCA90,0.11887808845398151,2.4219085162725253,78.40197070934913,4,0.0,30,0.9023077072379627,42
BayesianGaussianMixture_PCA30_K4_S0.12_DB2.42_CH78_S42,BayesianGaussianMixture,PCA30,0.1186552191584594,2.422459121171857,78.48545336155566,4,0.0,30,0.9022827323502066,42
AffinityPropagation_PCA20_K105_S0.12_DB1.63_CH34_S42,AffinityPropagation,PCA20,0.11822670043686624,1.6330600656271048,34.02348614740464,105,0.0,20,0.8254745870025119,42
GMM_PCA30_K4_S0.12_DB2.30_CH99_S42,GMM,PCA30,0.11772527053203555,2.304321293992699,99.42369667689381,4,0.0,30,0.9022827323502066,42
GMM_PCA90_K4_S0.11_DB2.54_CH75_S42,GMM,PCA90,0.11488964109600834,2.543934324372116,75.08599484512705,4,0.0,30,0.9023077072379627,42
AffinityPropagation_PCA85_K101_S0.11_DB1.70_CH32_S42,AffinityPropagation,PCA85,0.11347063401191745,1.7011858195087373,31.516979428108737,101,0.0,23,0.8532177096177381,42
GMM_PCA50_K6_S0.11_DB1.97_CH87_S1024,GMM,PCA50,0.10923097604872134,1.9677711639285633,87.46672508131428,6,0.0,50,0.9673254733329415,1024
AffinityPropagation_PCA90_K105_S0.10_DB1.81_CH27_S42,AffinityPropagation,PCA90,0.10301875927993041,1.8114420522657095,26.845205188153663,105,0.0,30,0.9023077072379627,42
AffinityPropagation_PCA30_K106_S0.10_DB1.81_CH27_S42,AffinityPropagation,PCA30,0.10193178132892701,1.8064093945884758,26.70005831503093,106,0.0,30,0.9022827323502066,42
