"Grupo","n_vars","n_sig_p05","n_sig_p01","mejor_feature","mejor_p_adj"
"🔥 1. Energía y Bioenergética",18,1,1,"EA_L1w",0.00179749477911234
"🔴 2. Estado Redox y Anabolismo",12,0,0,"AnabolismScore_L1w",0.312890798123535
"🧈 3. Metabolismo Lipídico",7,1,1,"LipidPL_pFBA",0.00129011498980398
"🧪 4. Dependencias Metabólicas Específicas",10,1,1,"GlnDependence_pFBA",1.53859316249331e-05
"🧩 5. Reprogramación Sistémica (SA_*)",201,4,3,"SA_Biomass_reactions_FBA",9.00132634891345e-09
