"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"Oncomet_AlphaKG_FBA",4658.68842,3324.7815155,0.70477505178287,0.972228472361911,0.713673295090209
"SA_Sphingolipid_metabolism_L1w",1.9969887965,2.066393801,0.705225107374843,0.972228472361911,1.03475482918164
"SA_Urea_cycle_pFBA",0,0,0.707189963725604,0.972228472361911,NA
"SA_Fructose_and_mannose_metabolism_FBA",0,0,0.714711849233859,0.972228472361911,NA
"SA_Transport__nuclear_L1w",0,0,0.715976781060305,0.972228472361911,NA
"SA_Squalene_and_cholesterol_synthesis_L1w",0,0,0.717410525976733,0.972228472361911,NA
"SA_Transport__lysosomal_FBA",0,0,0.725078744888164,0.9751815823965,NA
"AnabolismScore_FBA",1.560952816,1.3984453195,0.729206705889166,0.9751815823965,0.895892114845321
"SA_Tryptophan_metabolism_L1w",1.0303456465,0.825659004,0.740587436391846,0.9751815823965,0.801341769924196
"SA_Oxidative_phosphorylation_L1w",4.511333304,4.602783588,0.741462116012417,0.9751815823965,1.02027123199231
"SA_Lysine_metabolism_L1w",0,0,0.752066213615546,0.9751815823965,NA
"SA_Starch_and_sucrose_metabolism_L1w",0.0001697625,0.000156521,0.756858690555416,0.9751815823965,0.921999852735439
"SA_Transport__mitochondrial_L1w",3.7218163305,3.528904484,0.765021686901574,0.9751815823965,0.948167284634897
"WarburgIndex_FBA",15968.26583,16323.005,0.771249592270148,0.9751815823965,1.02221525955145
"SA_Cholesterol_metabolism_L1w",0.409053254,0.393952466,0.773332109342312,0.9751815823965,0.963083564664663
"SA_Eicosanoid_metabolism_L1w",2.113839762,2.165735002,0.773577359722627,0.9751815823965,1.02455022416217
"LipidPL_pFBA",6.9894,6.9894,0.774437260768366,0.9751815823965,1
"SA_Cholesterol_metabolism_FBA",428.21827095,539.5768783,0.777971946887894,0.9751815823965,1.26005104150029
"SA_Beta_Alanine_metabolism_L1w",0,0,0.780866927447582,0.9751815823965,NA
"SA_Transport__extracellular_L1w",8.6154201725,8.624870859,0.781669769025658,0.9751815823965,1.00109695015574
"SA_Galactose_metabolism_L1w",7.39e-05,4.58e-05,0.791260881115009,0.9751815823965,0.619756427604871
"SA_Histidine_metabolism_L1w",0.536992592,0.297162038,0.796937023801863,0.9751815823965,0.55338200643185
"SA_Transport__nuclear_FBA",0,0,0.79696857879237,0.9751815823965,NA
"SA_Butanoate_metabolism_FBA",0,0,0.798873717782692,0.9751815823965,NA
"SA_Tetrahydrobiopterin_metabolism_L1w",5e-12,6.93e-12,0.801654969586114,0.9751815823965,1.386
"SA_Histidine_metabolism_FBA",0,0,0.811379675742116,0.9751815823965,NA
"SA_Nucleotide_interconversion_pFBA",2.076680148,2.019469858,0.812902259601017,0.9751815823965,0.972451082534256
"NADPHdemand_L1w",0.0061760705,0.005695676,0.81377089671299,0.9751815823965,0.922216804358046
"SA_Heme_degradation_L1w",1.0288501095,1.057563689,0.81780803186736,0.9751815823965,1.02790841856833
"SA_Arginine_and_proline_metabolism_L1w",1.011150589,0.933509693,0.827201102856329,0.9751815823965,0.923215298646283
"CU_L1w",9452.2347275,9456.43337,0.829943234727207,0.9751815823965,1.00044419575064
"SA_Androgen_and_estrogen_synthesis_and_metabolism_L1w",0,0,0.836959736907362,0.9751815823965,NA
"SA_N_glycan_synthesis_L1w",0,0,0.837372797325488,0.9751815823965,NA
"SA_Vitamin_A_metabolism_FBA",2321.0418895,2500,0.838122138185972,0.9751815823965,1.07710249061405
"SA_Pyruvate_metabolism_pFBA",7.03e-05,8.66e-05,0.838475037813244,0.9751815823965,1.23186344238976
"MFI_FBA",2,2,0.838991398659466,0.9751815823965,1
"SA_Glutathione_metabolism_FBA",1209.2284415,1199.526927,0.844312714866414,0.9751815823965,0.991977103608342
"EA_FBA",-45107.2332,-39452.51461,0.847440341059595,0.9751815823965,0.874638318760815
"SA_Nucleotide_salvage_pathway_pFBA",0,0,0.859206758266185,0.9751815823965,NA
"SA_Methionine_and_cysteine_metabolism_pFBA",0,0,0.861208546620903,0.9751815823965,NA
"SA_Valine__leucine__and_isoleucine_metabolism_FBA",2398.159992,2648.964277,0.862250947168509,0.9751815823965,1.10458196527198
"SA_D_alanine_metabolism_FBA",0,0,0.870412743756475,0.9751815823965,NA
"SA_Urea_cycle_L1w",2.396988154,2.375403891,0.879876577270328,0.9751815823965,0.990995256708307
"EA_L1w",-24969.790735,-25224.33863,0.881642975976412,0.9751815823965,1.01019423421291
"SA_Peptide_metabolism_L1w",7.5288789535,7.377980243,0.883914921528244,0.9751815823965,0.979957346713636
"Oncomet_AlphaKG_pFBA",0,0,0.88890502446183,0.9751815823965,NA
"TCA_completeness_FBA",0.647058824,0.647058824,0.892897957780412,0.9751815823965,1
"SA_Ubiquinone_synthesis_L1w",0,0,0.89484523691353,0.9751815823965,NA
"SA_Purine_synthesis_FBA",0,0,0.895260760199477,0.9751815823965,NA
"SA_Urea_cycle_FBA",1100.6144665,1111.111111,0.903125645321041,0.9751815823965,1.00953707662355
"NADPHdemand_FBA",22.7466706,23.61905891,0.904988002065951,0.9751815823965,1.0383523516624
"SA_Citric_acid_cycle_FBA",4444.444444,4570.363957,0.905290007674899,0.9751815823965,1.02833189042783
"SA_NAD_metabolism_FBA",0,0,0.907471085513065,0.9751815823965,NA
"SA_Arachidonic_acid_metabolism_FBA",0,0,0.90833445779674,0.9751815823965,NA
"SA_Tryptophan_metabolism_FBA",281.6164073,358.0797222,0.916868154753315,0.978000105502168,1.27151583827481
"ATPConsumption_L1w",103.4792505,103.9982343,0.925209381033903,0.978000105502168,1.00501534169887
"ATPProduction_L1w",103.4792505,103.9982343,0.925209381033903,0.978000105502168,1.00501534169887
"WarburgIndex_L1w",0.3550399675,1.565530757,0.926733970939555,0.978000105502168,4.40944935868382
"SA_Heme_synthesis_L1w",0.7651434095,1.039803046,0.936901177357584,0.978966472809947,1.35896491179279
"SA_CoA_catabolism_L1w",0,0,0.939732832842905,0.978966472809947,NA
"SA_Miscellaneous_FBA",3824.415892,3868.896033,0.943393713072478,0.978966472809947,1.01163057111363
"SA_Galactose_metabolism_FBA",0,0,0.943439463716038,0.978966472809947,NA
"SA_Steroid_metabolism_FBA",0,0,0.955013493111242,0.98307092477621,NA
"SA_Transport__endoplasmic_reticular_L1w",4.471559018,4.129725404,0.958294208580883,0.98307092477621,0.923553818114897
"SA_Arachidonic_acid_metabolism_L1w",0.0001364855,0.000137128,0.959286950789689,0.98307092477621,1.00470745976679
"SA_Oxidative_phosphorylation_FBA",1.901458333,0.898333333,0.969989747936639,0.985596419077863,0.472444395656394
"GlnDependence_FBA",0.5,0.5,0.974368194216296,0.985596419077863,1
"SA_CoA_synthesis_L1w",0,0,0.977540539244589,0.985596419077863,NA
"SA_Citric_acid_cycle_L1w",2.108698609,1.834634248,0.979458866702015,0.985596419077863,0.870031516201375
"SA_Oxidative_phosphorylation_pFBA",0.7624656755,0.674651136,0.981622239968678,0.985596419077863,0.884828206276415
"SA_Sphingolipid_metabolism_pFBA",1.74735,1.996971429,0.98847296269558,0.98847296269558,1.14285714310241
