"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"SA_Arginine_and_proline_metabolism_L1w",1.006129423,0.4995237935,0.0390820731662073,0.0969235414521941,0.496480653562996
"Oncomet_Lactate_L1w",0,0,0.043218467323225,0.106120593031285,NA
"MFI_FBA",2,2,0.0527548121274276,0.128266602035314,1
"SA_Transport__mitochondrial_FBA",3990.8674375,3829.6125875,0.0571129317730613,0.137514631841934,0.959594034999816
"SA_Arachidonic_acid_metabolism_L1w",0.000138221,6.475e-06,0.0678500670111158,0.161796313641892,0.0468452695321261
"SA_Glycerophospholipid_metabolism_FBA",1351.0055805,1169.6330675,0.069304237943553,0.163178134098121,0.865749989772155
"SA_Nucleotide_metabolism_L1w",0,0,0.0697454928000034,0.163178134098121,NA
"SA_Lysine_metabolism_FBA",0,0,0.0716046565697218,0.165962194666271,NA
"SA_Fatty_acid_synthesis_L1w",2.215e-11,5.55e-11,0.0731016364420181,0.167863017015004,2.50564334085779
"SA_Triacylglycerol_synthesis_FBA",0,0,0.0757385073645859,0.172322475471718,NA
"SA_Transport__nuclear_L1w",0,0,0.0771018078661229,0.173829530461804,NA
"SA_Miscellaneous_FBA",3814.7129575,4004.2349095,0.0867042048119758,0.193717502642973,1.04968183821731
"SA_Pentose_phosphate_pathway_pFBA",0,0,0.088982274679429,0.197032179647307,NA
"SA_Vitamin_C_metabolism_L1w",7.97e-12,0,0.0912190120266462,0.200197477722197,0
"SA_Drug_metabolism_pFBA",0,0,0.0950855235538871,0.206281059926359,NA
"MFI_L1w",3,2,0.0956545237561746,0.206281059926359,0.666666666666667
"SA_Valine__leucine__and_isoleucine_metabolism_FBA",2413.2528325,1747.55999,0.105451669891591,0.225448397699263,0.724151222973857
"LipidSat_L1w",4.55e-11,4e-11,0.10756632111317,0.22728867631433,0.879120879120879
"SA_D_alanine_metabolism_L1w",0,0,0.108145418568915,0.22728867631433,NA
"SA_Miscellaneous_pFBA",6.515e-05,4.69e-05,0.1145248701936,0.238673679058931,0.719877206446661
"SA_Tetrahydrobiopterin_metabolism_L1w",5.525e-12,0,0.125549716317538,0.259469413722913,0
"SA_Drug_metabolism_FBA",3103.448276,2500,0.128015993684235,0.262379887881738,0.805555555519753
"AnabolismScore_L1w",0.198862074,0.136305703,0.133570937285905,0.271521249564791,0.685428348695589
"SA_Dietary_fiber_binding_FBA",0,0,0.15282895039041,0.308142924364403,NA
"SA_Extracellular_exchange_FBA",4470.0373235,4363.1601475,0.155594460193971,0.311188920387941,0.976090316866456
"SA_ROS_detoxification_FBA",476.7833816,829.16733835,0.158703294947341,0.314867337175525,1.73908607210147
"SA_Androgen_and_estrogen_synthesis_and_metabolism_L1w",0,0,0.163560844734627,0.3219292816999,NA
"SA_Arginine_and_proline_metabolism_FBA",0,0,0.173838458561515,0.339464076561069,NA
"SA_CoA_synthesis_L1w",0,0,0.186234709814639,0.358630684408342,NA
"SA_Valine__leucine__and_isoleucine_metabolism_pFBA",0,0,0.186545799551114,0.358630684408342,NA
"SA_Triacylglycerol_synthesis_L1w",4.46e-12,3.615e-11,0.189713635216204,0.361915242566297,8.10538116591928
"RedoxIndex_L1w",-2.75278904,-0.7365154945,0.193595531955147,0.366131216266762,0.267552465444283
"SA_Transport__nuclear_FBA",0,0,0.194876292529083,0.366131216266762,NA
"SA_Nucleotide_salvage_pathway_pFBA",0,0,0.200182265906892,0.373272195074506,NA
"SA_Inositol_phosphate_metabolism_FBA",0,0,0.208968558841217,0.386256647662454,NA
"SA_Transport__peroxisomal_FBA",1428.571429,865.098287,0.210904630994753,0.386256647662454,0.605568800718329
"SA_Vitamin_A_metabolism_FBA",2392.264256,1666.666667,0.212955968396535,0.386256647662454,0.696690034480873
"WarburgIndex_L1w",0.5946570115,-0.000845216,0.213375648103856,0.386256647662454,-0.00142135043168494
"SA_Vitamin_B2_metabolism_L1w",0,0,0.21701335945432,0.389995022787474,NA
"SA_Tryptophan_metabolism_pFBA",6.3260962755,6.7137e-05,0.221504409133102,0.39520211125906,1.06127060158745e-05
"SA_C5_branched_dibasic_acid_metabolism_FBA",0,0,0.22593459185176,0.40022699128026,NA
"SA_Transport__golgi_apparatus_FBA",0,0,0.229934813874938,0.402236174754844,NA
"SA_Peptide_metabolism_pFBA",0.258839453,2.755e-05,0.230312648448338,0.402236174754844,0.000106436633522016
"SA_Cytochrome_metabolism_L1w",0,0,0.235807928464258,0.408953610203748,NA
"SA_Aminosugar_metabolism_FBA",0,0,0.240034908641424,0.413393453771341,NA
"LipidUnsat_L1w",0.024449032,0.0227152685,0.243111880565513,0.415805147449981,0.929086619871085
"SA_Histidine_metabolism_L1w",0.72718411,6.51e-05,0.259677193237637,0.441095506321465,8.9523408315399e-05
"SA_Citric_acid_cycle_pFBA",0.000307196,0.000394921,0.266076036479705,0.447416799991023,1.28556686936028
"SA_Urea_cycle_FBA",1111.111111,582.57066165,0.267006799994643,0.447416799991023,0.524313595537431
"SA_Transport__endoplasmic_reticular_pFBA",0,0,0.272180071564188,0.453024548643749,NA
"SA_Glutathione_metabolism_L1w",0.000290955,1.752e-05,0.27807177987276,0.459745342722963,0.0602154972418415
"SA_Pyrimidine_catabolism_FBA",2728.775,2531.1987565,0.284609083116047,0.46743743452172,0.927595260327436
"SA_Androgen_and_estrogen_synthesis_and_metabolism_FBA",0,0,0.290308756576033,0.473661655466159,NA
"SA_Vitamin_C_metabolism_FBA",0,0,0.293656992415395,0.474902680407821,NA
"SA_Nucleotide_interconversion_FBA",4128.2748695,3945.434612,0.296704345312193,0.474902680407821,0.955710251066169
"SA_Fatty_acid_oxidation_FBA",744.62911535,517.32458385,0.29855536202843,0.474902680407821,0.694741278826897
"SA_Methionine_and_cysteine_metabolism_pFBA",0,0,0.298729105417823,0.474902680407821,NA
"SA_Steroid_metabolism_FBA",0,0,0.30828847766808,0.48491661292107,NA
"SA_Purine_synthesis_pFBA",0,0,0.310116272733563,0.48491661292107,NA
"SA_Transport__extracellular_FBA",5978.4687855,5913.1926875,0.311084524382033,0.48491661292107,0.989081468793762
"SA_Exchange_demand_reaction_FBA",0,0,0.312849427691013,0.48491661292107,NA
"SA_Folate_metabolism_FBA",4146.9848945,4347.443672,0.318220266100077,0.490177801197634,1.04833843927569
"TCA_completeness_FBA",0.647058824,0.666666667,0.334930762212678,0.512733512523112,1.03030303006887
"SA_Bile_acid_synthesis_pFBA",0,0,0.344075280336844,0.521086639681758,NA
"SA_Fatty_acid_synthesis_pFBA",0,0,0.344589552047614,0.521086639681758,NA
"SA_Transport__golgi_apparatus_L1w",1.3e-05,4.98e-06,0.346896243793352,0.521395566428795,0.383076923076923
"SA_Glutathione_metabolism_pFBA",0,0,0.353421490931546,0.528003191271225,NA
"SA_Propanoate_metabolism_FBA",0,0,0.368356838017361,0.546654941282352,NA
"SA_Glycolysis_gluconeogenesis_pFBA",2.175e-05,1.39e-05,0.370941706580609,0.546654941282352,0.639080459770115
"SA_Steroid_metabolism_L1w",0.0006001145,4.835e-06,0.372518891438377,0.546654941282352,0.00805679582812946
"SA_Cholesterol_metabolism_FBA",440.82676005,884.102721,0.381500207712025,0.556541479485777,2.00555592609605
"SA_Propanoate_metabolism_L1w",2.77e-11,4.59e-05,0.396444925199738,0.574961061108392,1657039.71119134
"SA_Squalene_and_cholesterol_synthesis_L1w",0,0,0.408006963148589,0.588289109656105,NA
"SA_Leukotriene_metabolism_L1w",0,0,0.426244398657564,0.611032432757665,NA
"SA_Citric_acid_cycle_FBA",4456.7437525,4314.1691245,0.430859002913486,0.614097889210025,0.96800923815285
"SA_Fructose_and_mannose_metabolism_FBA",0,0,0.435611454521206,0.617323661264338,NA
"SA_Methionine_and_cysteine_metabolism_FBA",1781.270006,1650.580411,0.461091503044316,0.646171780054001,0.926631226843888
