Modelo,NumReacciones,SimilaridadPromedio
TCGA-A2-A0YJ-01A_Xomics_specificModel,1093,0.464915591338424
TCGA-A2-A0YK-01A_Xomics_specificModel,1237,0.4624487801863
TCGA-A2-A0YL-01A_Xomics_specificModel,1221,0.470446843403465
TCGA-A2-A0YM-01A_Xomics_specificModel,1055,0.466386375596863
TCGA-A2-A0YT-01A_Xomics_specificModel,311,0.272646382319073
TCGA-A2-A1FV-01A_Xomics_specificModel,1295,0.442908084658365
TCGA-A2-A1FW-01A_Xomics_specificModel,1316,0.451081422796781
TCGA-A2-A1FX-01A_Xomics_specificModel,1271,0.440110575609485
TCGA-A2-A1FZ-01A_Xomics_specificModel,1004,0.441983349478524
TCGA-A2-A1G0-01A_Xomics_specificModel,1038,0.453453264090185
TCGA-A2-A1G1-01A_Xomics_specificModel,1183,0.452093889704821
TCGA-A2-A1G4-01A_Xomics_specificModel,1006,0.45502001841728
TCGA-A2-A1G6-01A_Xomics_specificModel,1138,0.457858908474178
TCGA-A2-A259-01A_Xomics_specificModel,864,0.420646505391489
TCGA-A2-A25A-01A_Xomics_specificModel,1003,0.459981885831168
TCGA-A2-A25B-01A_Xomics_specificModel,1026,0.448139212356803
TCGA-A2-A25C-01A_Xomics_specificModel,669,0.402573342896972
TCGA-A2-A25D-01A_Xomics_specificModel,1274,0.4539054531422
TCGA-A2-A25E-01A_Xomics_specificModel,1091,0.428001556545673
TCGA-A2-A25F-01A_Xomics_specificModel,904,0.453271495100939
TCGA-A2-A3KC-01A_Xomics_specificModel,1594,0.445561935312009
TCGA-A2-A3KD-01A_Xomics_specificModel,1061,0.456602085372129
TCGA-A2-A3XS-01A_Xomics_specificModel,1116,0.453842396045897
TCGA-A2-A3XT-01A_Xomics_specificModel,1119,0.473695536777736
TCGA-A2-A3XU-01A_Xomics_specificModel,884,0.437950410026648
TCGA-A2-A3XV-01A_Xomics_specificModel,1290,0.459006085006563
TCGA-A2-A3XW-01A_Xomics_specificModel,849,0.442498026116826
TCGA-A2-A3XX-01A_Xomics_specificModel,1033,0.440685462696426
TCGA-A2-A3XY-01A_Xomics_specificModel,862,0.427460311276964
TCGA-A2-A3XZ-01A_Xomics_specificModel,1082,0.433947296640733
TCGA-A2-A3Y0-01A_Xomics_specificModel,818,0.431095050156998
TCGA-A2-A4RW-01A_Xomics_specificModel,1004,0.461761181003342
TCGA-A2-A4RX-01A_Xomics_specificModel,892,0.427610834540651
TCGA-A2-A4RY-01A_Xomics_specificModel,1274,0.44903779497235
TCGA-A2-A4S0-01A_Xomics_specificModel,1318,0.462690628421232
TCGA-A2-A4S1-01A_Xomics_specificModel,708,0.433458683665013
TCGA-A2-A4S2-01A_Xomics_specificModel,1140,0.467321136586702
TCGA-A2-A4S3-01A_Xomics_specificModel,1000,0.465971540410815
TCGA-A7-A0CD-01A_Xomics_specificModel,1340,0.464151409322091
TCGA-A7-A0CE-01A_Xomics_specificModel,1050,0.440521309561203
TCGA-A7-A0CE-11A_Xomics_specificModel,939,0.454149648671811
TCGA-A7-A0CG-01A_Xomics_specificModel,1042,0.455996528926652
TCGA-A7-A0CH-01A_Xomics_specificModel,1086,0.470881895640096
TCGA-A7-A0CH-11A_Xomics_specificModel,1077,0.461445180809797
TCGA-A7-A0CJ-01A_Xomics_specificModel,691,0.417835844720474
TCGA-A7-A0D9-01A_Xomics_specificModel,1041,0.470751824455467
TCGA-A7-A0D9-11A_Xomics_specificModel,1282,0.468019037379882
TCGA-A7-A0DA-01A_Xomics_specificModel,1068,0.468143122313435
TCGA-A7-A0DB-01A_Xomics_specificModel,684,0.408672139617199
TCGA-A7-A0DB-01C_Xomics_specificModel,1168,0.454229445633034
TCGA-A7-A0DB-11A_Xomics_specificModel,953,0.444926184582364
TCGA-A7-A0DC-01A_Xomics_specificModel,1390,0.429722201760368
TCGA-A7-A0DC-01B_Xomics_specificModel,1092,0.444229953591338
TCGA-A7-A0DC-11A_Xomics_specificModel,1059,0.416621220696804
TCGA-A7-A13D-01A_Xomics_specificModel,1116,0.446016046249285
TCGA-A7-A13D-01B_Xomics_specificModel,776,0.430200616103587
TCGA-A7-A13E-01A_Xomics_specificModel,1341,0.459974334752638
TCGA-A7-A13E-01B_Xomics_specificModel,1342,0.439213108835489
TCGA-A7-A13E-11A_Xomics_specificModel,1258,0.457357484256471
TCGA-A7-A13F-01A_Xomics_specificModel,611,0.399238501024243
TCGA-A7-A13F-11A_Xomics_specificModel,938,0.445524598760968
TCGA-A7-A13G-01A_Xomics_specificModel,874,0.455298909356164
